name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Andrew Wilson,1900,46,163,21,33,4,1,3,16,1,2,13,37,1923,0.202453988,0.261363636,0.294478528,0.555842164
Andrew Young,1997,70,117,16,24,9,0,7,19,0,0,11,55,2021,0.205128205,0.2734375,0.461538462,0.734975962
Andruw Jones,1973,2196,7599,1204,1933,383,36,434,1289,152,59,891,1748,2012,0.254375576,0.33262662,0.485590209,0.818216829
Andruw Monasterio,2000,151,407,52,99,19,1,4,43,13,4,44,106,2024,0.243243243,0.317073171,0.324324324,0.641397495
Andr챕s Blanco,1985,536,1191,137,305,73,9,18,109,5,13,79,202,2017,0.256087322,0.302362205,0.377833753,0.680195958
Andr챕s Chaparro,2001,33,121,12,26,12,0,4,15,1,1,7,24,2024,0.214876033,0.2578125,0.41322314,0.67103564
Andr챕s Gim챕nez,1997,568,1937,251,505,88,11,49,222,99,15,110,403,2024,0.260712442,0.300439668,0.393391843,0.693831511
Andujar Cedeno,1967,616,2051,221,485,98,13,47,223,26,17,143,488,1996,0.236470015,0.286235187,0.36567528,0.651910467
Andy Allanson,1965,512,1486,145,357,48,4,16,139,23,18,87,223,1995,0.240242261,0.282263191,0.310228802,0.592491994
Andy Anderson,1925,122,223,23,41,8,1,2,17,0,1,22,36,1949,0.183856502,0.257142857,0.255605381,0.512748238
Andy Barkett,1978,17,46,5,14,2,0,1,3,1,0,4,7,2001,0.304347826,0.36,0.413043478,0.773043478
Andy Carey,1929,938,2850,371,741,119,38,64,350,23,21,268,389,1962,0.26,0.323604875,0.395789474,0.719394349
Andy Childs,1914,22,84,17,17,5,1,0,7,4,5,10,37,1938,0.202380952,0.287234043,0.285714286,0.572948328
Andy Cohen,1904,262,886,108,249,36,10,14,114,6,7,43,34,1929,0.281038375,0.314316469,0.391647856,0.705964325
Andy Cusick,1861,95,332,27,64,7,1,0,15,12,9,8,42,1887,0.192771084,0.211764706,0.219879518,0.431644224
Andy Dirks,1988,297,971,150,268,47,7,24,100,13,4,76,173,2013,0.276004119,0.328557784,0.412976313,0.741534097
Andy Drake,1909,21,62,5,15,3,0,1,5,0,5,3,37,1933,0.241935484,0.276923077,0.338709677,0.615632754
Andy Etchebarren,1941,948,2618,245,615,101,17,49,309,13,14,246,529,1978,0.234912147,0.300628492,0.34262796,0.643256452
Andy Fox,1973,776,1925,248,461,65,17,30,168,74,25,197,407,2004,0.239480519,0.310084826,0.337662338,0.647747163
Andy Gonz찼lez,1984,91,225,21,41,6,1,3,13,1,6,31,70,2009,0.182222222,0.28125,0.257777778,0.539027778
Andy Green,1983,140,230,33,46,7,1,2,12,2,1,26,41,2009,0.2,0.28125,0.265217391,0.546467391
Andy Harris,1903,21,71,9,19,3,0,0,8,2,5,5,75,1927,0.267605634,0.315789474,0.309859155,0.625648629
Andy Harvey,1914,29,94,11,26,5,1,0,13,0,5,4,37,1938,0.276595745,0.306122449,0.35106383,0.657186279
Andy High,1899,1314,4400,618,1250,195,65,44,482,33,46,425,130,1934,0.284090909,0.347150259,0.387954545,0.735104805
Andy Ib찼챰ez,1998,329,952,116,244,51,5,24,107,6,3,63,188,2024,0.256302521,0.302463054,0.396008403,0.698471458
