name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
윤요섭,1982,501,905,93,228,35,1,26,135,10,7,89,199,2017,0.252,0.319,0.379,0.698
윤용하,1968,236,404,46,99,21,2,14,50,2,6,33,79,1994,0.245,0.302,0.411,0.713
윤재국,1975,714,1766,234,453,63,22,19,170,53,29,154,350,2009,0.257,0.316,0.349,0.666
윤재호,1967,617,1313,139,294,42,5,5,115,52,31,146,182,1996,0.224,0.302,0.275,0.577
윤정우,1988,126,144,34,33,8,0,3,15,15,3,8,38,2018,0.229,0.27,0.347,0.617
윤진호,1986,403,260,42,40,10,0,1,15,6,4,11,70,2019,0.154,0.188,0.204,0.392
윤찬,1967,137,191,24,39,5,0,2,23,4,7,22,32,1995,0.204,0.286,0.262,0.548
윤해진,1989,184,214,37,45,4,0,2,14,8,5,11,52,2019,0.21,0.249,0.257,0.506
윤혁,1967,199,519,57,136,25,2,2,42,11,3,59,64,1995,0.262,0.337,0.329,0.667
윤현식,1977,88,50,9,4,0,0,0,1,0,1,3,12,2004,0.08,0.132,0.08,0.212
윤형준,1994,179,382,32,96,14,1,11,45,2,2,14,105,2023,0.251,0.278,0.38,0.657
윤홍식,1962,47,57,8,13,4,1,0,1,2,3,1,15,1987,0.228,0.241,0.333,0.575
이강돈,1961,1217,3979,533,1132,203,38,87,557,88,75,387,657,1997,0.284,0.348,0.42,0.768
이건열,1963,897,2401,266,576,72,4,30,251,55,34,189,383,1997,0.24,0.295,0.311,0.606
이경복,1970,372,677,56,164,31,2,7,81,2,3,40,59,1998,0.242,0.285,0.325,0.609
이경수,1959,32,59,9,11,3,1,0,3,1,0,2,8,1982,0.186,0.213,0.271,0.484
이경호,1973,13,33,2,6,0,0,0,2,1,0,2,10,1993,0.182,0.229,0.182,0.41
이계성,1977,408,808,85,189,44,3,11,88,11,8,79,191,2005,0.234,0.302,0.337,0.639
이광근,1962,402,917,90,239,62,5,12,103,2,12,104,135,1992,0.261,0.336,0.378,0.714
이광길,1960,567,1256,148,288,56,7,7,120,48,36,206,183,1992,0.229,0.338,0.302,0.64
이광은,1955,922,3279,475,929,149,26,90,473,119,60,311,314,1991,0.283,0.345,0.427,0.772
이근식,1959,253,477,46,111,16,1,1,41,10,4,34,47,1986,0.233,0.284,0.277,0.56
이근엽,1972,408,787,59,150,20,1,5,42,20,14,52,163,1999,0.191,0.241,0.238,0.478
이대수,1981,1190,2860,328,736,131,21,35,299,43,29,224,523,2018,0.257,0.311,0.355,0.666
이대진,1974,24,37,2,3,1,1,0,4,0,0,2,18,2002,0.081,0.128,0.162,0.29
이대형,1983,1603,5083,807,1414,132,38,9,361,505,177,437,848,2019,0.278,0.335,0.324,0.66
이대호,1982,1971,7118,972,2199,331,6,374,1425,11,11,745,1025,2022,0.309,0.374,0.515,0.889
이도형,1975,1155,3154,317,815,142,6,130,519,5,5,243,537,2010,0.258,0.311,0.431,0.742
이동수,1973,674,1813,257,487,82,9,89,328,8,5,224,522,2003,0.269,0.349,0.471,0.82
이동욱,1974,143,272,17,60,9,1,5,26,1,3,21,52,2003,0.221,0.276,0.316,0.593
이동채,1971,58,80,8,12,0,0,0,5,1,1,3,22,1994,0.15,0.181,0.15,0.331
이만수,1958,1449,4310,624,1276,193,7,252,860,52,48,554,490,1997,0.296,0.376,0.519,0.896
