name,birth,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP,OPS,FY,LY,AY,URL
임정면,1958,0.227,163,291,33,66,8,1,2,15,6,5,25,38,1.818,1.968,3.786,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EC%9E%84%EC%A0%95%EB%A9%B4
정현발,1953,0.26,476,1202,158,313,59,4,46,187,15,19,161,204,3.049,2.478,5.527,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EC%A0%95%ED%98%84%EB%B0%9C
권두조,1951,0.22,588,1603,149,352,53,9,1,112,24,31,157,159,1.571,1.748,3.319,1982,1987,6,http://www.statiz.co.kr/player.php?name=%EA%B6%8C%EB%91%90%EC%A1%B0
김경갑,1960,0.24,105,179,14,43,5,0,6,26,1,0,19,32,0.714,0.565,1.279,1986,1987,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EA%B2%BD%EA%B0%91
김대진,1955,0.238,275,568,61,135,17,2,8,46,5,2,52,77,1.529,1.45,2.979,1983,1987,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%8C%80%EC%A7%84
김봉기,1953,0.247,145,81,36,20,2,1,0,11,5,6,6,13,1.315,1.491,2.806,1982,1987,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%B4%89%EA%B8%B0
김석일,1959,0.234,225,402,41,94,13,3,6,35,8,5,55,64,1.58,1.623,3.203,1983,1987,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%84%9D%EC%9D%BC
김성호,1955,0.156,36,32,1,5,1,0,0,0,0,0,4,7,0.207,0.294,0.501,1984,1987,4,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%84%B1%ED%98%B8
김우근,1956,0.253,397,1043,142,264,35,8,11,85,65,25,111,111,1.831,1.852,3.683,1982,1987,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%B0%EA%B7%BC
김정태,1957,0.233,95,180,14,42,6,0,1,10,2,5,29,27,0.29,0.55,0.84,1986,1987,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A0%95%ED%83%9C
김종수,1957,0.25,117,256,25,64,5,0,0,17,4,3,37,33,0.501,0.668,1.169,1986,1987,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A2%85%EC%88%98
김진근,1956,0.171,111,82,21,14,2,0,1,6,4,4,4,9,0.926,0.859,1.785,1984,1987,4,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A7%84%EA%B7%BC
도이석,1961,0.139,72,36,15,5,3,0,0,6,2,1,6,7,0.448,0.556,1.004,1986,1987,2,http://www.statiz.co.kr/player.php?name=%EB%8F%84%EC%9D%B4%EC%84%9D
윤홍식,1962,0.228,47,57,8,13,4,1,0,1,2,3,1,15,0.814,0.625,1.439,1986,1987,2,http://www.statiz.co.kr/player.php?name=%EC%9C%A4%ED%99%8D%EC%8B%9D
이종도,1952,0.268,481,1284,174,344,69,6,28,176,50,15,154,188,2.161,2.066,4.227,1982,1987,6,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%EC%A2%85%EB%8F%84
장진범,1959,0.229,144,214,18,49,9,0,0,22,4,4,7,25,1.077,1.03,2.107,1983,1987,5,http://www.statiz.co.kr/player.php?name=%EC%9E%A5%EC%A7%84%EB%B2%94
정인교,1957,0.138,48,58,3,8,1,0,0,4,0,0,4,10,0.448,0.554,1.002,1984,1987,4,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EC%9D%B8%EA%B5%90
정종현,1959,0.221,151,271,32,60,8,2,11,31,1,4,20,34,1.988,1.69,3.678,1982,1987,6,http://www.statiz.co.kr/player.php?name=%EC%A0%95%EC%A2%85%ED%98%84
함학수,1955,0.259,483,1330,186,344,59,7,32,185,44,17,83,153,2.33,1.806,4.136,1982,1987,6,http://www.statiz.co.kr/player.php?name=%ED%95%A8%ED%95%99%EC%88%98
김명성,1961,0.172,92,134,16,23,3,1,0,7,2,6,15,21,0.42,0.519,0.939,1985,1986,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AA%85%EC%84%B1
김우열,1949,0.278,343,1076,160,299,45,6,41,173,43,16,155,141,2.057,1.812,3.869,1982,1986,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%B0%EC%97%B4
김이수,1960,0.168,118,155,25,26,6,1,2,10,7,7,9,29,0.599,0.465,1.064,1984,1986,3,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9D%B4%EC%88%98
김정수,1953,0.234,346,966,129,226,46,6,23,113,20,18,156,137,1.659,1.644,3.303,1982,1986,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A0%95%EC%88%98
김종윤,1957,0.228,265,575,71,131,23,8,5,48,17,17,58,117,1.533,1.468,3.001,1982,1986,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%A2%85%EC%9C%A4
박찬,1955,0.251,122,275,35,69,14,0,2,24,5,3,23,52,1.039,1.033,2.072,1982,1986,5,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%B0%AC
박창언,1958,0.245,47,139,10,34,6,1,0,11,4,2,2,35,0.302,0.254,0.556,1986,1986,1,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%B0%BD%EC%96%B8
배대웅,1954,0.259,356,822,85,213,32,3,11,83,24,7,72,52,1.686,1.595,3.281,1982,1986,5,http://www.statiz.co.kr/player.php?name=%EB%B0%B0%EB%8C%80%EC%9B%85
송일수,1950,0.222,160,351,38,78,13,2,4,40,2,7,22,40,0.87,0.8,1.67,1984,1986,3,http://www.statiz.co.kr/player.php?name=%EC%86%A1%EC%9D%BC%EC%88%98
양승호,1960,0.223,195,413,33,92,14,2,4,41,5,3,28,44,1.201,1.152,2.353,1983,1986,4,http://www.statiz.co.kr/player.php?name=%EC%96%91%EC%8A%B9%ED%98%B8
