name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
김강민,1982,1960,5440,810,1487,266,24,139,2218,681,209,108,484,84,1135,90,23,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/71837.jpg,2002,2024,0.273,0.333,0.408,0.74
김건우,1963,150,459,50,117,18,1,13,176,60,3,0,34,1,86,10,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86111.jpg,1989,1993,0.255,0.306,0.383,0.69
김경갑,1960,105,179,14,43,5,0,6,66,26,1,0,19,0,32,4,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86800.jpg,1986,1987,0.24,0.313,0.369,0.682
김경기,1968,1182,4020,515,1106,206,13,138,1752,598,42,39,449,65,615,111,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90313.jpg,1990,2001,0.275,0.348,0.436,0.784
김경남,1959,360,852,71,178,33,8,7,248,61,6,5,47,4,120,26,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95777.jpg,1982,1988,0.209,0.25,0.291,0.541
김경문,1958,703,1493,120,329,59,2,6,410,126,17,19,89,21,150,24,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82211.jpg,1982,1991,0.22,0.264,0.275,0.539
김경언,1982,1183,2973,385,805,144,18,55,1150,393,56,42,374,25,657,49,16,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71610.jpg,2001,2017,0.271,0.352,0.387,0.739
김경진,1976,201,279,42,58,10,0,5,83,25,1,1,19,11,63,9,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/99614.jpg,1999,2007,0.208,0.258,0.297,0.556
김경표,1960,245,413,45,97,12,4,3,126,36,16,8,50,2,68,8,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/83799.jpg,1984,1989,0.235,0.317,0.305,0.623
김경하,1970,157,248,26,53,8,3,3,76,21,4,1,19,5,43,2,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93136.jpg,1993,1996,0.214,0.27,0.306,0.576
김경호,1995,88,131,21,35,4,1,0,41,11,1,4,3,0,23,2,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64260.jpg,2019,2020,0.267,0.284,0.313,0.597
김경훈,1957,30,35,3,3,1,0,0,4,1,1,0,5,0,9,1,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/80574.jpg,1982,1982,0.086,0.2,0.114,0.314
김광림,1961,1638,4761,619,1358,194,50,35,1757,432,170,101,480,24,537,57,16,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/84210.jpg,1984,1999,0.285,0.351,0.369,0.72
김광수,1959,1046,3456,434,859,115,13,27,1081,306,190,101,393,50,267,87,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82210.jpg,1982,1992,0.249,0.325,0.313,0.638
김광현,1971,77,127,10,30,9,3,0,45,10,1,0,12,1,36,4,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/94233.jpg,1994,1999,0.236,0.302,0.354,0.656
김구길,1953,32,64,1,13,1,0,0,14,2,1,1,3,0,15,0,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/80006.jpg,1982,1982,0.203,0.239,0.219,0.458
김규민,1993,266,642,98,169,19,5,7,219,72,11,8,55,12,187,10,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62356.jpg,2017,2020,0.263,0.321,0.341,0.662
김근석,1962,395,1020,92,258,45,0,14,345,98,8,14,57,28,107,23,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82799.jpg,1983,1988,0.253,0.292,0.338,0.631
김기태,1969,1544,4975,816,1465,299,27,249,2565,923,83,66,948,27,862,116,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/91803.jpg,1991,2005,0.294,0.407,0.516,0.923
김기홍,1970,89,164,13,39,8,0,1,50,14,3,2,5,0,22,2,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/80005.jpg,1989,1993,0.238,0.26,0.305,0.565
김기환,1995,139,255,46,55,13,3,3,83,19,29,6,21,2,83,1,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65462.jpg,2020,2022,0.216,0.275,0.325,0.601
김다원,1985,283,542,67,132,24,1,13,197,55,4,2,32,21,157,15,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78765.jpg,2010,2016,0.244,0.286,0.363,0.649
김대륙,1992,179,156,15,23,3,2,0,30,8,0,1,14,5,54,2,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65513.jpg,2015,2017,0.147,0.218,0.192,0.41
김대우,1984,147,325,34,69,18,3,7,114,42,8,4,41,3,131,6,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78536.jpg,2012,2020,0.212,0.301,0.351,0.651
김대익,1973,1193,3372,481,910,177,24,45,1270,332,102,67,315,30,573,46,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96503.jpg,1996,2007,0.27,0.332,0.377,0.709
