plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
기업인력애로센터,구인애로 중소기업을 발굴하고 청년구직자와 취업매칭,기업인력애로센터를 통해 청년구직자의 중소기업 채용 정보 제공,,,0,0,일자리,취업
벤처기업경쟁력강화사업,우수한 벤처기업이 공동으로 청년 신규직원 채용 및 교육훈련 지원,"(공동채용) 벤처기업 채용박람회, 기업탐방 등을 통해 청년 구직자와 벤처기업 채용 연계
(공동훈련) 신입직원 직무역량 강화 교육",,,0,0,일자리,취업
스마트제조인력양성,스마트공장 전문인력 양성,산학융합지구 내 대학 캠퍼스에 스마트랩을 구축·활용하여 스마트공장 핵심 분야 교육과정 운영,,,0,0,일자리,취업
청년중독관리사업,"청년층 대상 알코올, 마약류 등 중독 저신건강문제 예방, 조기발견 및 중독자 지원(상담, 치료과리, 자조모임 등 운영) ","지역내 청년(만15-39세) 대상
1. 홍보, 교육
 - 유관 지역자원 연계, 청년층 대상 중독예방 홍보, 교육 실시 및 지원
 - 청년층 집중지역, 시설(대학, 직장, 청년센터, 지역 고용센터, 병무청 등) 등 유관 지역자원과 협력해 예방 등 홍보, 교육
2. 발굴, 개입
 - 연계 또는 직접 발굴 통해 검사, 초기상담 및 등록, 치료 연계
 - 보건소(정신건강복지센터), 정신의료기관, 병무청, 청년센터, 지역고용센터, 대학교(학생상담센터, 영서포터즈 등) 등 지역자원과 연계하여 수요자 발굴, 지원 및 검사, 초기상담 등 연계체계 구축
3. 지원
 - 중독자 사례관리, 주야(비대면) 프로그램 운영, 치료연계 및 동기강화를 통한 중증, 만성화 방지 및 사회복귀 도모
4. 지지
 - 자조모임, 중독자 가족지원, 지역공헌활동(인식개선) 등 운영, 지원",,,0,0,복지문화,건강
기술사관 육성,직업계고(2년) + 전문대(2년) 연계 교육을 통해 중소기업의 현장전문기술인력을 양성,직업계고(2년) + 전문대(2년) 연계 교육,,,0,0,일자리,취업
중소기업 계약학과,중소기업 근로자 대상으로 산업계 수요를 반영한 학위과정 운영,중소기업 재직자 학위 과정 지원,,,0,0,일자리,취업
청년 1인가구 사회적 관계망 형성 지원,"청년 1인가구의 고독, 고립 등 방지를 위한 사회적 관계망 지원",가족센터를 중심으로 1인가구 대상 프로그램을 다양화하여 지원,,,0,0,복지문화,취약계층 및 금융지원
청년한부모 자립 지원(추가아동양육비 지원),경제 사회적 자립기반이 취약한 청년 한부모에 대한 추가 아동 양육비 지원 및 양육비 선지급으로 청년 한부모의 자립 지원 강화,"ㅇ 추가아동양육비 지원 : 저소득층 청년한부모(25~34세) 대상 아동양육비 추가 지원
  - 5세 이하 아동 : 월 10만원
  - 6세 이상 18세 미만 아동 : 월 5만원
ㅇ 양육비 선지급 : 양육비 채권을 보유했으나 지급받지 못하는 한부모 대상 양육비 선지급(월 20만원)",,http://www.bokjiro.go.kr,25,34,복지문화,취약계층 및 금융지원
경력단절 예방 지원 강화,ㅇ 청년여성의 직업의식 제고 및 장기적 경력개발 설계 등을 통한 선제적 경력단절예방 지원,"(구직준비지원) 대학생, 특성화고생 등 청년 구직여성 대상으로 경력개발 상담, 진로 지도, 직업의식 교육 등 취업 초기 지원
(경력단절예방지원) 청년 재직여성의 직장 적응 및 임식 육아 등에 따른 인사노무 상담, 복귀 지원 교육 등 경력유지 지원",,,0,0,일자리,취업
청년 등 기업가 대상 중소기업 법률 서비스 지원,지원단 변호사가 중소기업을 위한 법률서비스를 제공할 경우 법률지원단이 비용 일부 지원,"2009년 1월부터 운영된 「9988 중소기업 법률지원단」과 2015년 4월부터 운영된 「창조경제혁신센터 법률지원단」이 2024년 6월부터 「법무부 중소기업 법률지원단」으로 통합되어 운영되고 있다. 이 지원단은 중소기업과 소상공인을 대상으로 법률자문과 소송지원을 제공하며, 일반 기업에는 자문 최대 100만 원, 소송 최대 200만 원까지 지원한다. 다만 2025년 6월 2일부터는 「1인 창조기업 육성에 관한 법률 시행령」 제2조 제3항에 따른 청년기업의 경우에는 자문 최대 200만 원, 소송 최대 300만 원으로 한도가 상향된다. 청년기업이란 39세 이하 청년이 대표권 있는 임원으로 등기되어 있는 회사(공동대표의 경우 청년이 비청년보다 더 많은 의결권을 보유한 경우) 또는 청년 개인사업자를 말한다. 현재 법률지원단에는 약 102명의 변호사가 활동 중이다.",,https://9988law.com/startlaw,0,0,일자리,창업
