카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
35,GS칼텍스 신한카드 Shine,신한카드,,"12,000","주유: GS칼텍스 주유 시 리터당 60~100원 할인
교통: 버스, 지하철, 택시 3~7% 할인
영화: 맥스무비, 인터파크, YES24 예매 시 할인
테마파크: 주요 놀이공원 할인 서비스
유의사항: 꼭 확인하세요!"
36,신한카드 Cube Platinum#,신한카드,,"35,000","선택형: Cube 선택서비스 - 선택서비스 5개, 5% 할인
할인: Coin-Save(잔돈할인) 서비스 - 잔돈은 할인
프리미엄 서비스: Platinum# 서비스 및 국제브랜드사 서비스
유의사항: 꼭 확인하세요!"
37,신한카드 The BEST-F,신한카드,,"205,000","바우처: Gift Option Service
선택형: 캐시백(캐시백형 선택 시)
마일리지 적립(마일리지 적립형 선택 시)
여행/숙박: JEJU 할인
공항라운지: 공항라운지
카페: 커피 할인
베이커리: 베이커리 할인
쇼핑: 쇼핑 할인
생활: 생활 할인
유의사항: 꼭 확인하세요!"
38,신한카드 Lesson Platinum#,신한카드,,"30,000","학원: 자녀교육에 필요한 가맹점에서 5% 할인
문화센터: 자녀 감성발달에 필요한 가맹점에서 5% 할인
도서: 자녀 도서 구매에도 5% 할인
생활: COIN-SAVE 잔돈 할인
프리미엄: Platinum# 서비스 및 국제브랜드사 서비스
유의사항: 꼭 확인하세요!"
39,신한카드 Deep Oil,신한카드,,"13,000","주유: 4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인
자동차/하이패스: 정비소(스피드메이트), 주차장 이용금액 10% 결제일 할인
편의점: GS25, CU 5% 결제일 할인
카페: 스타벅스, 이디야 5% 결제일 할인
택시: 택시 5% 결제일 할인
영화: 롯데시네마 일반관 5천원 현장 할인
유의사항: 꼭 확인하세요!"
40,신한카드 Deep Dream Platinum+,신한카드,,"30,000","적립: 국내/외 가맹점 0.7~1.1% 포인트 적립
생활: 자주 가는 DREAM 영역 2.4~3.3% 포인트 적립
생활: 가장 많이 가는 DREAM 영역 4.0~5.5% 포인트 적립
생활: 주유소 리터당 80원 적립, 택시 2천 원 할인
기타: DREAM 영역 안내
기타: 통합 적립한도 안내
프리미엄: 신한금융그룹 우대 서비스,
Platinum+ 서비스
유의사항: 꼭 확인하세요!"
41,신한카드 Deep On Platinum+,신한카드,,"30,000","간편결제: 국내 온라인 이용 건, 온라인 배달/온라인 슈퍼 10% 할인
생활: 4대 편의점, 생활/잡화, 커피, 월납 20% 할인
프리미엄 서비스: 제주항공, 에어부산 10% 할인
유의사항: 꼭 확인하세요!"
42,SOCAR 제휴 SOCAR 신한카드,신한카드,,"16,000","렌터카: SOCAR 결제 시 30% 결제일 할인
기차: KTX, SRT 포함 철도 이용 시 10% 결제일 할인
카페: 커피전문점 20% 결제일 할인
편의점: GS25, CU, 세븐일레븐 편의점 5% 결제일 할인
대형마트: 홈플러스, 이마트, 롯데마트 3대 할인점 3% 결제일 할인
유의사항: 꼭 확인하세요!"
43,신한카드 Deep Store,신한카드,,"16,000","쇼핑: 생활쇼핑 최대 15% 결제일 할인
카페/디저트: 커피전문점/제과점 업종 10% 결제일 할인
기타: 주말 복합쇼핑몰 10% 결제일 할인
대형마트: 주말 3대 할인점 10% 결제일 할인
영화: 주말 롯데시네마 현장 예매 시 5,000원 결제일 할인
유의사항: 꼭 확인하세요!"
44,위메프페이 신한카드,신한카드,,"15,000","적립: 국내외 가맹점 이용 금액의 0.7% 기본적립
간편결제: 위메프에서 위메프페이 간편 결제 시 2% 특별적립
유의사항: 꼭 확인하세요!"
45,American Express Blue,삼성카드,,"15,000","생활: 편의점·배달앱 7% 멤버십리워즈 적립
디지털구독: 스트리밍서비스 20% 결제일 할인
카페: 스타벅스·이디야 20% 결제일 할인
통신: 교통·통신 5% 멤버십리워즈 적립
쇼핑: 쇼핑 1.5% 멤버십리워즈 적립
해외이용: 해외 5% 멤버십리워즈 적립
유의사항: 꼭 확인하세요!"
46,삼성카앤모아카드,삼성카드,"8,000","10,000","주유: 국내외 모든 가맹점에서  0.2%·0.4% 주유포인트 적립
주유: 전국 주유소 리터당 60원 결제일할인(청구할인) (LPG 30원)
OTT/영화/문화: CGV 동반 1인 50% 할인
카페/디저트: 스타벅스 1,000원 할인
자동차/하이패스: 프라이버시콜(안심 주자번호서비스) 무료 제공"
47,삼성카드4,삼성카드,"5,000","5,000","모든가맹점: 모든 가맹점 0.7% 할인
모든가맹점: 10만원 이상 결제 시 1% 할인
OTT/영화/문화: 모든 영화관 2,500원 할인
무이자할부: 5만원 이상 결제 시 2~3개월 무이자할부"
48,국민행복 삼성카드,삼성카드,,,"국민행복: 임신·출산·육아 국가바우처 이용
적립: 할인점, 쇼핑몰, 병원·약국 등 업종별 1% 빅포인트 적립
교육/육아: 서점, 학습지 등 교육 업종 이용금액 5% 결제일할인(청구할인)
쇼핑: 신세계포인트 적립 및 신세계백화점 5% 할인
카페/디저트: 커피전문점, 파리바게뜨, 배스킨라빈스, 던킨도너츠 10% 결제일할인(청구할인)
영화: CGV 영화티켓 5,000원 이상 결제 시 3,000원 할인
기타: 놀이공원, 어린이 직업체험 테마파크 등 할인
유의사항: 꼭 확인하세요!"
49,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"47,000","49,000","대한항공: 모든 가맹점 이용금액 1,000원당 1마일리지 기본적립
백화점: (특별적립) 국내형: 백화점 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립
주유소: (특별적립) 국내형: 주유 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립
카페: (특별적립) 국내형: 커피 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립
편의점: (특별적립) 국내형: 편의점 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립
택시: (특별적립) 국내형: 택시 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립
해외: (특별적립) 해외형: 해외 가맹점 및 해외 직접구매 이용건 1,000원당 (스카이패스) 1 마일리지 추가 적립
공항라운지: 인천공항 라운지 본인 무료 이용
공항: 인천공항 발렛파킹 무료 이용
공항: 공항 커피 서비스
프리미엄 서비스: 아멕스 PLATINUM 등급 서비스
선택형: 여행의 설레임을 담은 디자인으로 리뉴얼 된 삼성카드 & MILEAGE PLATINUM
유의사항: 꼭 확인하세요!"
50,아시아나 삼성지엔미플래티늄카드,삼성카드,,"20,000","아시아나항공: 1,000원당 아시아나 1마일리지 적립 
주유소: S-OIL 리터당 40 보너스포인트 적립
패밀리레스토랑: 아웃백스테이크하우스 10% 할인
카페: 스타벅스  1,000원 결제일할인
영화: 메가박스, CGV, 인터파크 영화 3,000원 할인 
테마파크: 놀이공원 할인 서비스
정비: 닥터카서비스
무이자할부: 백화점·할인점 2~3개월 무이자할부
무이자할부: 의료점 2~3개월 무이자할부
경기관람: 프로스포츠 프로모션 서비스"
51,삼성카드 taptap O,삼성카드,"10,000","10,000","선택형: 라이프스타일 패키지 선택
대중교통: 대중교통·택시 10% 결제일할인
통신: 이동통신요금 10% 결제일할인
영화: CGV 및 롯데시네마 5,000원 결제일할인
해외: 해외 1.3% 적립
유의사항: 꼭 확인하세요!"
