카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
2505,오늘은e 신용카드,BNK부산은행,"7,000","10,000","간편결제: PAYCO, 삼성페이, 네이버페이, 카카오페이, 썸패스 5% 청구할인
학원: [생활 할인 서비스] 전국 모든 학원업종 5% 청구할인
통신: [생활 할인 서비스] 휴대폰 요금 5% 청구할인
카페: [생활 할인 서비스] 스타벅스 5% 청구할인
대중교통: [생활 할인 서비스] 버스, 지하철, 택시 요금 5% 청구할인
영화: [생활 할인 서비스] 롯데시네마 5% 청구할인
유의사항: 꼭 확인하세요!"
2506,오늘은e 체크카드,BNK부산은행,,,"간편결제: PAYCO, 삼성페이, 네이버페이, 카카오페이, 썸패스 3% 청구할인
학원: 전국 모든 학원업종 3% 청구할인
통신: 휴대폰 요금 3% 청구할인
카페: 스타벅스 3% 청구할인
교통: 버스, 지하철, 택시요금 3% 청구할인
영화: 롯데시네마 3% 청구할인
유의사항: 꼭 확인하세요!"
2507,2030 언택트 체크카드,BNK부산은행,,,"카페: 스타벅스 최대 3,000원 할인
배달앱: 배달의 민족, 요기요 최대 3,000원 할인
온라인쇼핑: 쿠팡, 마켓컬리, SSG닷컴 최대 3,000원 할인
디지털구독: 넷플릭스, 유튜브프리미엄, 멜론 20% 청구할인
유의사항: 꼭 확인하세요!"
2508,올유닛 체크카드,MG새마을금고,,,"통신: SKT, KT, LG U+ 결제 시 이용금액의 1% 할인 캐시백
레저/스포츠: 골프(연습)장, 스크린골프, 스키장, 볼링장, 테니스장, 수영장, 헬스클럽 결제 시 이용금액의 1% 할인 캐시백
병원/약국:  종합병원, 병/의원, 한의원, 치과, 약국 업종 결제 시 이용금액의 1% 할인 캐시백
캐시백: 최대이용영역 1% 할인
수수료우대: 해외이용 수수료 면제
유의사항: 꼭 확인하세요!"
2509,에어머니 체크카드,MG새마을금고,,,"멤버십포인트: 국내 가맹점 이용금액의 0.3% Air Money 적립
여행/숙박: 숙박, 면세점, 관광여행, 레저업소 업종 이용 시 3,000원 Air Money 특별적립
카페: 스타벅스, 투썸플레이스, 커피빈 결제 시 500원 Air Money 특별적립
공항라운지: 국내 공항라운지 무료이용
해외이용: 해외 가맹점 이용(결제)금액의 1% Air Money 적립
수수료우대: 해외이용 수수료 면제
유의사항: 꼭 확인하세요!"
2510,미타임 체크카드,MG새마을금고,,,"쇼핑: 쇼핑 대상가맹점 결제 시 2,000원 할인
드럭스토어: H&B스토어, 뷰티업종 결제 시 1,000원 할인
카페: 스타벅스, 투썸플레이스, 커피빈, 이디야 결제 시 500원 할인
수수료우대: 해외이용 수수료 면제
캐시백: 더블혜택 서비스
유의사항: 꼭 확인하세요!"
2511,신한카드 봄,신한카드,"17,000","20,000","캐시백: 국내외 이용금액 최대 0.5% 캐시백
대중교통: 버스/지하철 후불교통 이용금액 캐시백
디지털구독: 디지털 구독 이용금액 월 최대 1만원 캐시백
유의사항: 꼭 확인하세요!"
2512,신한카드 봄(체크),신한카드,,,"캐시백: 국내외 이용금액 월 최대 0.3% 캐시백
대중교통: 버스/지하철 후불교통 이용금액 캐시백
유의사항: 꼭 확인하세요!"
2513,zgm.고향으로카드,NH농협카드,"12,000","12,000","멤버십포인트: [고향사랑 기본 서비스] 국내/해외 이용가맹점 0.7% NH포인트 적립
멤버십포인트: [고향사랑 기본 서비스] 주말 국내 이용가맹점 0.3% NH포인트 추가적립
멤버십포인트: [고향사랑 우대 서비스] 주말 기부지역 광역시·도 가맹점 및 전국 농협판매장/농협운영 주유소 0.7% NH포인트 추가적립
유의사항: 꼭 확인하세요!"
2514,미래에셋 현대카드 Silver,현대카드,"30,000","30,000","멤버십포인트: 스탁마일리지 2X-특별적립
멤버십포인트: 스탁마일리지 1X-기본적립
기타: 미래에셋증권 서비스등급 혜택
선택형: 플레이트 2종 선택
유의사항: 꼭 확인하세요!"
2515,미래에셋 현대카드 Gold,현대카드,"150,000","150,000","멤버십포인트: 스탁마일리지 3X-특별적립
멤버십포인트: 스탁마일리지 2X-특별적립
멤버십포인트: 스탁마일리지 1X-기본적립
기타: 미래에셋증권 서비스등급 혜택
바우처: 투자/쇼핑/호텔/골프 바우처 중 택1 10만원 상당 바우처 제공 (연 1회)
프리미엄 서비스: 미래에셋 현대카드 Gold 회원만을 위한 프리미엄 서비스
프리미엄 서비스: VISA 프리미엄 서비스
선택형: 플레이트 3종 선택
유의사항: 꼭 확인하세요!"
2516,미래에셋 현대카드 Diamond,현대카드,"500,000","500,000","멤버십포인트: 스탁마일리지 5X-특별적립
멤버십포인트: 스탁마일리지 3X-특별적립
멤버십포인트: 스탁마일리지 1X-기본적립
기타: 미래에셋증권 서비스등급 혜택
바우처: 투자/쇼핑/호텔/골프 바우처 중 택3, 30만원 상당 바우처 제공 (연 1회)
프리미엄 서비스: 미래에셋 현대카드 Diamond 회원만을 위한 프리미엄 서비스
프리미엄 서비스: VISA 프리미엄 서비스
선택형: 플레이트 3종 선택
유의사항: 꼭 확인하세요!"
2517,네이버웹툰 삼성 iD 카드,삼성카드,"10,000","10,000","디지털구독: 네이버 디지털콘텐츠/네이버플러스 멤버십 50% 네이버페이 포인트 적립
네이버페이: 네이버페이로 결제 시 국내 가맹점 1% 네이버페이 포인트 적립
네이버페이: 배달앱/커피전문점 5% 네이버페이 포인트 적립
온라인쇼핑: 온라인쇼핑몰 5% 네이버페이 포인트 적립
해외이용: 해외 1% 네이버페이 포인트 적립
유의사항: 꼭 확인하세요!"
2518,컬리카드,BC 바로카드,"12,000","12,000","멤버십포인트: 컬리 적립금 5% 적립
멤버십포인트: 해외 가맹점 컬리 적립금 2% 적립
멤버십포인트: 국내 가맹점 컬리 적립금 1% 적립
선택형: 플레이트 5종 선택
유의사항: 꼭 확인하세요!"
2519,개이득 체크카드,우체국,,,"할인: 국내 전 가맹점 0.3% 캐시백
디지털구독: OTT 30% 캐시백
온라인쇼핑: 패션 30% 캐시백
디지털구독: 멤버십 30% 캐시백
유의사항: 꼭 확인하세요!"
2521,NOL 카드,현대카드,"20,000","20,000","멤버십포인트: 야놀자·인터파크(투어/티켓)·트리플 NOL 포인트 10% 적립
멤버십포인트: 커피전문점·편의점·디지털 콘텐츠 서비스 NOL 포인트 10% 적립
멤버십포인트: 쇼핑·영화·골프·대중교통 NOL 포인트 10% 적립
멤버십포인트: 해외 가맹점 NOL 포인트 10% 적립
프리미엄 서비스: VISA/AMEX 플래티넘 서비스
선택형: 플레이트 6종 선택
유의사항: 꼭 확인하세요!"
2522,KT NU우리카드,우리카드,"20,000","20,000","KT: KT 통신서비스 요금 청구할인
KT: KT 단말기 장기할부 서비스
유의사항: 꼭 확인하세요!"
2523,LG U+ 우리카드,우리카드,"10,000","15,000","LGU+: LG U+ 유무선 통신요금 할인
패밀리레스토랑: 패밀리레스토랑 10% 청구할인
카페: 커피 20% 청구할인
영화: 전국 영화관 3천원 청구할인
테마파크: 주요 놀이공원 자유이용권 50% 현장할인
유의사항: 꼭 확인하세요!"
2524,건담 신한카드,신한카드,"15,000","18,000","쇼핑: 건담베이스KR 직영점 10% 할인
생활: [Young Life 할인] 영화·요식·택시 할인
생활: [Trendy 할인] 쇼핑·다이닝·몰링 할인
선택형: 플레이트 2종 선택
유의사항: 꼭 확인하세요!"
2525,만나 우리카드,우리카드,"12,000","12,000","주유소: [Daily 할인] 주유 리터당 60~100원 청구할인
대중교통: [Daily 할인] 대중교통 10% 청구할인
카페: [Daily 할인] 커피 10% 청구할인
할인: [Simple 할인] 국내 가맹점 1.0%~0.7% 청구할인
유의사항: 꼭 확인하세요!"
2526,LG트윈스 신한카드,신한카드,,"10,000","경기관람: LG트윈스 입장권 할인
쇼핑: LG트윈스 용품 구매 시 10% 현장 할인
영화: 전국 CGV 영화관 3,000원(2매 기준) 현장할인
테마파크: 롯데월드, 서울랜드, 에버랜드 자유이용권 50% 및 캐리비안베이 입장권 30% 할인"
2527,신한카드 Pick I 체크,신한카드,,,"편의점: 4대 편의점 이용 시 10% 적립
카페: 커피 업종 이용 시 10% 적립
해외이용: 해외 이용금액 1% 적립
디지털구독: 디지털 구독 영역 이용 시 10% 적립
온라인쇼핑: One Pick 온라인 쇼핑몰 가맹점 최대 3천 포인트 적립
유의사항: 꼭 확인하세요!"
2528,신한카드 Pick E 체크,신한카드,,,"편의점: 4대 편의점 이용 시 10% 적립
카페: 커피 업종 이용 시 10% 적립
해외이용: 해외 이용금액 1% 적립
생활: 놀이 영역 이용 시 10% 적립
푸드: One Pick 맛집 가맹점 최대 3천 포인트 적립
유의사항: 꼭 확인하세요!"
2529,트래블로그 신용카드,하나카드,"20,000","20,000","국내외가맹점: 국내외 전 가맹점 1.0% 하나머니 적립
간편결제: 간편결제 1.0%~1.3% 하나머니 적립 
해외이용: 해외 가맹점 3% 하나머니 적립 (신용카드 결제 시)
항공권: 항공사 3% 하나머니 적립
면세점: 면세점 3% 하나머니 적립
온라인 여행사: 여행 3% 하나머니 적립
수수료우대: 해외 가맹점 이용 수수료·해외 ATM 인출 수수료 면제
선택형: 카드 플레이트 선택
유의사항: 꼭 확인하세요!"
2530,총무 체크카드,KB국민카드,,,"일반음식점: 한식, 휴게음식점 업종 5% 환급할인 (평일만)
카페: 커피음료전문점 업종 5% 환급할인 (평일만)
아이스크림: 제과아이스크림 업종 5% 환급할인 (평일만)
대중교통: 대중교통(버스, 지하철) 5% 청구할인
선택형: 카드 플레이트 선택
유의사항: 꼭 확인하세요!"
2532,신한카드 Globus,신한카드,"22,000","25,000","수수료우대: 해외 수수료 할인 서비스
멤버십포인트: 마이신한포인트 적립
프리미엄 서비스: Mastercard Platinum 서비스 제공
유의사항: 공통 유의사항"
2533,에너지 더블 카드,하나카드,"20,000","20,000","공과금: 에너지 공과금 청구할인 서비스
생활: 일상생활 청구할인 서비스
무이자할부: 2~3개월 무이자 할부 서비스
유의사항: 꼭 확인하세요!"
2534,삼성 iD VITA 카드,삼성카드,"20,000","20,000","병원/약국: 의료 20% 결제일 할인
보험사: 보험 10% 결제일 할인
뷰티/피트니스: 헬스/뷰티 20% 결제일 할인
대형마트: 할인점 10% 결제일 할인
할인: 이동통신/렌탈/멤버십 정기결제 시 10% 결제일 할인
해외이용: 전월 이용금액에 관계없이, 할인한도 없이 해외 1% 결제일할인
선택형: 카드 플레이트 선택
유의사항: 꼭 확인하세요!"
2535,K-22(Point),IBK기업은행,"219,000","220,000","멤버십포인트: TOP포인트 적립
바우처: 바우처서비스 (연 1회 제공, 5가지 중 택 1)
프리미엄 서비스: 프리미엄 서비스
프리미엄 서비스: 특별서비스
프리미엄 서비스: 브랜드 서비스
유의사항: 꼭 확인하세요!"
2536,K-22(Mileage),IBK기업은행,"219,000","220,000","항공마일리지: 대한항공(Skypass) 마일리지 적립
바우처: 바우처서비스 (연 1회 제공, 5가지 중 택 1)
프리미엄 서비스: 프리미엄 서비스
프리미엄 서비스: 특별서비스
프리미엄 서비스: 브랜드 서비스
유의사항: 꼭 확인하세요!"
2537,LOCA for 롯데마트,롯데카드,"20,000","20,000","대형마트: 롯데마트, MAXX 월 최대 30,000원 결제일 할인
유의사항: 꼭 확인하세요!"
2538,LOCA CLASSIC 롯데마트,롯데카드,"20,000","20,000","국내외가맹점: 국내외 가맹점에서 최대 1% 할인
유의사항: 꼭 확인하세요!"
2539,MY S-OIL 삼성카드,삼성카드,"20,000","20,000","주유소: S-OIL 주유 10% 결제일할인
카페: 스타벅스 드라이브스루 30% 결제일할인
하이패스: 고속도로 통행료 10% 결제일할인
기타: 주차장/대리운전 10% 결제일 할인"
2540,HERITAGE Exclusive,KB국민카드,"2,000,000","2,000,000","멤버십포인트: 국내외 가맹점 1~3% 적립
프리미엄 서비스: Excusive 전용 쿠폰서비스1 [연 1회 제공, 4가지 중 1가지 선택]
프리미엄 서비스: Excusive 전용 쿠폰서비스2 [연 1회 제공, 2가지 중 1가지 선택]
프리미엄 서비스: Excusive 전용 특별 서비스
프리미엄 서비스: Visa Infinite 서비스
유의사항: 꼭 확인하세요!"
2541,HERITAGE Reserve(스카이패스형),KB국민카드,"800,000","800,000","대한항공: 대한항공 마일리지 적립 서비스
프리미엄 서비스: Reserve 전용혜택 쿠폰서비스 [연 1회 제공, 3가지 중 1가지 선택]
프리미엄 서비스: Reserve 전용혜택 특별서비스
프리미엄 서비스: Amex Elite & ICON 서비스
유의사항: 꼭 확인하세요!"
2542,HERITAGE Reserve(포인트형),KB국민카드,"800,000","800,000","멤버십포인트: 국내외/특정 업종 포인트리 적립
프리미엄 서비스: Reserve 전용혜택 쿠폰서비스 [연 1회 제공, 3가지 중 1가지 선택]
프리미엄 서비스: Reserve 전용혜택 특별서비스
프리미엄 서비스: Amex Elite & ICON 서비스
유의사항: 꼭 확인하세요!"
2543,신세계 THE S VIP,삼성카드,"47,000","49,000","백화점: 신세계백화점 1% 할인
국내외가맹점: 0.5% 결제일할인
기타: 교육•할인점•이동통신•병원•약국 할인
영화: 모든 영화관 10,000원 결제일할인
카페: 커피전문점 20% 결제일할인
패밀리레스토랑: VIPS•더플레이스 20,000원 결제일할인
테마파크: 놀이공원•워터파크 할인 서비스
정비: 닥터카 서비스
백화점: 신세계백화점 제휴 서비스
프리미엄 서비스: Mastercard PLATINUM 등급 서비스
경기관람: 프로스포츠 프로모션 서비스"
2544,zgm.play카드,NH농협카드,"12,000","12,000","선택형: [선택 서비스] 온라인-플레이 타입
선택형: [선택 서비스] 오프라인-플레이 타입
영화: CGV, 롯데시네마, 메가박스 5천원 청구할인
카페: 스타벅스, 투썸플레이스, 커피빈 30% 청구할인
패스트푸드: 패스트푸드업종 20% 청구할인
생활: 미용실·올리브영·CU/GS25 5% 청구할인 (H&B 편의점 통합 일 1회)
생활: 쇼핑·서점 5% 청구할인 (통합 일 1회)
유의사항: 꼭 확인하세요!"
2545,zgm.play++카드,NH농협카드,"63,000","65,000","선택형: [선택 서비스] 온라인-플레이 타입
선택형: [선택 서비스] 오프라인-플레이 타입
영화: CGV, 롯데시네마, 메가박스 5천원 청구할인
카페: 스타벅스, 투썸플레이스, 커피빈 30% 청구할인
패스트푸드: 패스트푸드업종 20% 청구할인
생활: 미용실·올리브영·CU/GS25 5% 청구할인 (H&B 편의점 통합 일 1회)
생활: 쇼핑·서점 5% 청구할인 (통합 일 1회)
프리미엄 서비스: 소노호텔앤리조트 오션월드/오션플레이/오션어드벤처/솔샘온천/스노위랜드(겨울시즌) 2인 입장교환권 1매 제공
프리미엄 서비스: 전 세계 공항라운지 무료 이용(The lounge/ 더 라운지)
유의사항: 꼭 확인하세요!"
2546,신한카드 Pick E 선불,신한카드,,,"편의점: 4대 편의점 10% 적립
카페: 커피 업종 10% 적립
생활: 놀이 영역 이용 시 10% 적립
푸드: One Pick 맛집 가맹점 최대 3천 포인트 적립
유의사항: 꼭 확인하세요!"
2547,신한카드 Pick I 선불,신한카드,,,"편의점: 4대 편의점 이용 시 10% 적립
카페: 커피 업종 이용 시 10% 적립
디지털구독: 디지털 구독 영역 이용 시 10% 적립
온라인쇼핑: One Pick 온라인 쇼핑몰 가맹점 최대 3천 포인트 적립
유의사항: 꼭 확인하세요!"
2548,e hi-pass 카드(현대차),KB국민카드,"2,000",,"하이패스: e hi-pass 카드 소개
하이패스: 후불 하이패스
멤버십포인트: 포인트리 적립/할인
유의사항: 꼭 확인하세요!"
2549,신한카드 KaPick,신한카드,"19,000","22,000","적립: 요일별 서비스영역 대상 가맹점 이용시 5% 카카오페이포인트 적립
간편결제: 토/일 카카오페이로 이용 시, 3천 카카오페이포인트 적립
적립: OTT 및 멤버십 서비스, 커피 대상가맹점 이용 시 10% 카카오페이포인트 적립
선택형: 다양한 플레이트 선택 가능
유의사항: 꼭 확인하세요!"
2550,노리2 체크카드(Play),KB국민카드,,,"카페: [일상] 스타벅스, 커피빈 10% 할인
게임: [일상] 구글플레이스토어, 앱스토어 10% 할인
공연/전시: [일상] 인터파크 티켓 10% 할인
헤어: [일상] 올리브영, 미용실 업종 5% 할인
편의점: [일상] GS25, CU 5% 할인
디지털구독: [일상] 넷플릭스, 유튜브프리미엄 1,000원 할인
배달앱: [일상] 배달의민족, 요기요 1,000원 할인
통신: [일상] SKT, KT, LG U+, Liiv M 2,500원 할인
영화: [일상] CGV 4,000원 할인
테마파크: [일상] 에버랜드, 롯데월드 15,000원 할인
게임: [Play] PC방 업종 10% 할인
패스트푸드: [Play] 패스트푸드 업종 1,000원 할인
유의사항: 꼭 확인하세요!"
2551,카드의정석 EVERY 1,우리카드,"12,000","12,000","무실적: [기본 할인] 국내외 가맹점 1% 청구할인
할인: [추가 할인] 전월실적에 따라 매월 최대 2만원 청구할인
선택형: 플레이트 2종 선택
유의사항: 꼭 확인하세요!"
2552,카드의정석 EVERY CHECK,우리카드,,,"무실적: [기본 적립] 국내외 가맹점 이용금액 0.2% 적립
적립: [추가 적립] 전월실적에 따라 최대 3천원 추가 적립
적립: [특별 적립] 4대 일상영역 중 한 곳 1만원 적립
선택형: 플레이트 3종 선택
유의사항: 꼭 확인하세요!"
2553,카드의정석 EVERY MILE SKYPASS,우리카드,"39,000","39,000","대한항공: SKYPASS 최대 2마일리지 적립
수수료우대: 해외수수료 면제
공항라운지: 국내 공항라운지 동반 1인 동시 이용 가능
유의사항: 꼭 확인하세요!"
2554,밀리언달러 하나카드,하나카드,"15,000","15,000","수수료우대: 해외수수료 면제 서비스
해외이용: 해외 가맹점 하나머니 적립
멤버십포인트: 국내 가맹점 하나머니 적립
유의사항: 꼭 확인하세요!"
2555,K-패스카드,KB국민카드,"8,000","8,000","할인: 청구 할인 서비스
유의사항: 꼭 확인하세요!"
2556,K-패스체크카드,KB국민카드,,,"적립: 포인트리 적립 서비스
유의사항: 꼭 확인하세요!"
2557,K-패스 카드,BC 바로카드,"6,000","6,000","대중교통: 대중교통(버스, 지하철) 15% 결제일 할인
디지털구독: OTT/스트리밍 15% 결제일 할인
통신: 이동통신요금 5% 결제일 할인
편의점: 편의점 5% 결제일 할인
카페: 카페 5% 결제일 할인
해외이용: 해외 3% 결제일 할인
유의사항: 꼭 확인하세요!"
2558,K-패스 삼성카드,삼성카드,"10,000","10,000","교통: 대중교통 10% 결제일 할인
카페: 커피전문점 20% 결제일 할인
디지털구독: 디지털콘텐츠/멤버십 정기결제 시 20% 결제일 할인
온라인쇼핑: 온라인쇼핑 3% 결제일 할인
선택형: 특수 소재 카드
교통: K-패스 마일리지
유의사항: 꼭 확인하세요!"
2559,K-패스 (신용),IBK기업은행,"2,000","4,000","대중교통: [교통특화 서비스] 대중교통 최대 300원 할인
교통: [교통특화 서비스] 일반교통 5% 할인
주유소: [생활 서비스] 주유 리터당 40원 할인
통신: [생활 서비스] 통신 3% 할인
패밀리레스토랑: [생활 서비스] 외식 10% 할인
영화: [생활 서비스] 영화 2천원 할인
무이자할부: [생활 서비스] 무이자 할부 2~3개월
테마파크: [생활 서비스] 놀이공원 본인 무료입장 또는 자유이용권 최대 50% 할인
수수료우대: [특별우대 서비스] 환전 우대 환율 50% 우대
보험사: [특별우대 서비스] 보험 1천만원 대중교통 상해보험 무료가입
유의사항: 꼭 확인하세요!"
2560,K-패스카드(신용),NH농협카드,"13,000","15,000","교통: [모빌리티 서비스] 버스/지하철/택시/철도/렌터카/카쉐어링/전기차 충전 10% 청구할인
통신: [라이프 서비스①] 이동통신요금/오픈마켓/배달앱/스포츠/H&B 5% 청구할인
카페: [라이프 서비스②]커피전문점/편의점 10% 청구할인
유의사항: 꼭 확인하세요!"
2561,K-패스카드(체크),NH농협카드,,,"교통: [모빌리티 서비스] 버스/지하철 10% 캐시백, 렌터카/카쉐어링/전기차 충전 5% 캐시백
통신: [라이프 서비스] 이동통신요금/커피전문점/편의점 5% 캐시백
유의사항: 꼭 확인하세요!"
2562,K-패스(체크),IBK기업은행,,,"대중교통: 대중교통 건당 100원 할인
카페: 커피 10% 할인
온라인쇼핑: 쇼핑 10% 할인
편의점: 편의점 5% 할인
영화: 영화 4천원 할인
테마파크: 놀이공원 본인 무료입장 또는 자유이용권 최대 50% 할인
금융: 금융우대서비스
유의사항: 꼭 확인하세요!"
2563,K-패스 삼성체크카드,삼성카드,,,"대중교통: 대중교통 10% 캐시백
통신: 이동통신 10% 캐시백
편의점: 편의점/커피전문점/제과 1,000원 캐시벡
영화: CGV 3,000원 할인
대중교통: K-패스 마일리지
유의사항: 꼭 확인하세요!"
2564,[광주] K-그린카드v2,광주은행,"10,000","12,000","온라인쇼핑: 온라인 업종 5% 에코머니 포인트 적립
통신: 통신요금(SKT, KT, LG U+) 자동이체시 5% 에코머니 포인트 적립
대중교통: 버스, 지하철 10% 에코머니 포인트 적립
교통: KTX, 고속버스 5% 에코머니 포인트 적립
카페: 스타벅스, 엔젤리너스, 이디야, 투썸플레이스, 메가커피, 5% 에코머니 포인트 적립
영화: CGV, 롯데시네마, 메가박스 2,000점 에코머니 포인트 적립
모든가맹점: 국내 전 가맹점 0.3% 에코머니 포인트 적립
유의사항: 꼭 확인하세요!"
2565,I-PET,IBK기업은행,"18,000","19,000","애완동물: 동물병원/반려동물업종 30% 할인
애완동물: 반려동물사진관 30% 할인
온라인쇼핑: 온라인쇼핑 10% 할인
카페: 커피 10% 할인
대형마트: 대형마트 5% 할인
편의점: 편의점 5% 할인
유의사항: 꼭 확인하세요!"
2566,Trip to 로카,롯데카드,"20,000","20,000","모든가맹점: 국내 가맹점 1.2% 결제일 할인
해외: 해외 가맹점 2.0% 결제일 할인
유의사항: 꼭 확인하세요!"
2567,우리동네GS 삼성카드,삼성카드,"15,000","15,000","편의점: GS25 1%/5%/10% 결제일 할인
SSM: GS THE FRESH 1%/5%/10% 결제일 할인
멤버십포인트: GS리테일 POP서비스
카페: 커피전문점/배달앱 10% 결제일할인
디지털구독: 디지털콘텐츠 30% 결제일 할인
해외: 해외 1% 결제일 할인
선택형: 플레이트 선택"
2568,TMAP & LOGI 행복 체크카드,KB국민카드,,,"대중교통: 버스·지하철 10% 청구할인
통신: 이동통신요금 5% 환급할인
영화: CGV 35% 환급할인
패밀리레스토랑: 아웃백, VIPS 20% 환급할인
카페: 스타벅스 20% 환급할인
테마파크: 에버랜드·롯데월드 50% 환급할인
금융: 금융수수료 면제 서비스
편의점: GS25 5% 환급할인
도서: 교보문고 5% 환급할인
유의사항: 꼭 확인하세요!"
2569,트래블월렛 우리카드,우리카드,"20,000","20,000","적립: 트래블 포인트 적립 포인트
수수료우대: 해외 이용 수수료 면제 서비스
유의사항: 꼭 확인하세요!"
2570,카드의정석 오하CHECK,우리카드,,,"온라인쇼핑: [오늘 하루 SHOPPING] 온라인 쇼핑  5% 캐시백
간편결제: [오늘 하루 SHOPPING] 간편결제 5% 캐시백
생활: [오늘 하루 SHOPPING] 안경/렌즈 5% 캐시백
카페: [오늘 하루 EAT] 커피 5% 캐시백
배달앱: [오늘 하루 EAT] 배달/주문 5% 캐시백
대중교통: [오늘 하루 LIFE] 대중교통(버스/지하철) 5% 캐시백
통신: [오늘 하루 LIFE] 이동통신 5% 캐시백
해외: [오늘 하루 LIFE] 해외 5% 캐시백
생활: [오늘 하루 LIFE] 어학시험 5% 캐시백
디지털구독: [오늘 하루 PLAY] OTT 5% 캐시백
공연/전시: [오늘 하루 PLAY] 공연티켓 5% 캐시백
유의사항: 꼭 확인하세요!"
2571,엠베스트 엘리하이 삼성카드,삼성카드,"15,000","15,000","학원: 메가스터디교육 7,000원~12,000원 할인
생활: 생활요금 정기결제 월 최대 3,000원 할인
선택형: 플레이트 2종 선택"
2572,Mile1 하나카드,하나카드,"20,000","20,000","항공마일리지: UniMile 적립
공항라운지: [Global 서비스] 인천공항 라운지 무료 입장 및 위탁수화물 서비스
프리미엄 서비스: UPI 플래티늄 서비스
유의사항: 꼭 확인하세요!"
2582,트래블제로카드,코나카드,,"3,000","해외이용: 해외 결제 시점, 알아서 자동 환전 + 환전 수수료 면제
수수료우대: 해외 가맹점 결제 수수료 면제
해외 ATM 출금 수수료 면제
해외직구: 해외 직구도 수수료 면제
적립: 국내 온라인/오프라인 실적 상관없이 무조건 무제한 0.3% 캐시백
할인: 국내 커피빈 / CGV 실적 상관없이 무조건 즉시할인
교통: 국내 대중교통 기능 지원
유의사항: 꼭 확인하세요!"
2583,PAYCO 36 우리카드,우리카드,"15,000","15,000","멤버십포인트: PAYCO 포인트 적립 서비스
기타: PAYCO 36 우리카드 장기할부 서비스 제공
카페: 커피전문점 5% 청구할인
편의점: 편의점 5% 청구할인
유의사항: 꼭 확인하세요!"
2584,신한카드 Global+ 체크 월리를찾아라,신한카드,,,"캐시백: 국내 전가맹점 이용금액의 0.2% 캐시백
카페: 스타벅스 5% 캐시백
대중교통: 대중교통 이용금액의 2% 캐시백(버스/지하철)
해외: 해외 전가맹점(온라인 포함) 1.2% 캐시백
해외 인출 1건당 US $3 캐시백 제공
유의사항: 꼭 확인하세요!"
2585,신한카드 Way 체크(미니언즈 여름),신한카드,,,"대중교통: 대중교통(버스/지하철) 이용 시 최대 5% 적립
생활: 생활편의영역(통신·편의점·생활잡화·디지털컨텐츠·커피) 이용시 2% 적립
해외이용: 해외 이용금액에 대해 1.3% 적립
유의사항: 꼭 확인하세요!"
2586,티니 카드,롯데카드,,,"교육/육아: 용돈도 신용카드로
교통: 버스와 지하철 충전 없이 탈 수 있어요
간편결제: 어디서나 간편하게 로카페이로 결제할 수 있어요
유의사항: 꼭 확인하세요!"
2587,카드의정석 EVERY 1 (망그러진곰 Edition),우리카드,"12,000","12,000","무실적: [기본할인] 국내외 가맹점 1% 청구할인
할인: [추가 할인] 전월실적에 따라 매월 최대 2만원 청구할인
선택형: 플레이트 2종 선택
유의사항: 꼭 확인하세요!"
2588,스타플러스 체크카드,KB국민카드,,,"카페: 스타벅스, 커피빈 10% 할인
게임: 구글플레이스토어, 앱스토어 10% 할인
공연/전시: 인터파크 티켓 10% 할인
드럭스토어: 올리브영, 미용실 업종 5% 할인
편의점: GS25, CU 5% 할인
디지털구독: 넷플릭스, 유튜브프리미엄 1,000원 할인
배달앱: 배달의 민족, 요기요 1,000원 할인
통신: SKT, KT, LG U+, Liiv M 2,500원 할인
영화: CGV 4,000원 할인
테마파크: 에버랜드, 롯데월드 15,000원 할인
해외이용: 해외 가맹점 2% 할인
공항라운지: 공항라운지 더라운지멤버스
유의사항: 꼭 확인하세요!"
2589,GS Prime 신한카드 체크,신한카드,,,"쇼핑: GS리테일 점내 이용 시 GS&POINT 1% 적립
모든가맹점: 그 외 모든 가맹점 이용 시 GS&POINT 0.1% 기본 적립
유의사항: 꼭 확인하세요!"
2590,BC 바로 에어 플러스 아시아나,BC 바로카드,"19,000","19,000","아시아나항공: 아시아나클럽 마일리지 기본적립
1천원당 1.3마일리지 적립
아시아나항공: 아시아나클럽 마일리지 보너스 적립
1백만원당 300마일리지 적립
무이자할부: 무이자할부 서비스
전국 모든 가맹점 2~3개월
프리미엄 서비스: MasterCard Platinum 기본 서비스
유의사항: 꼭 확인하세요!"
2591,BC 바로 On&Off 카드,BC 바로카드,"5,000","5,000","간편결제: 온라인/간편결제 10% 결제일 할인
푸드: 음식점/커피 10% 결제일 할인
교통: 버스/지하철/택시 10% 결제일 할인
해외: 해외 10% 결제일 할인
무이자할부: 무이자할부 서비스
프리미엄 서비스: 국제 브랜드 서비스
유의사항: 꼭 확인하세요!"
