full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
양승호,1960,1986,195,413,92,14,2,4,28,44,41,33,5,3,0.223,0.272,0.295,0.568
양영동,1983,2013,173,180,34,5,1,0,22,47,8,44,20,5,0.189,0.277,0.228,0.505
양용모,1967,2002,746,1658,395,71,7,21,159,392,187,210,83,32,0.238,0.305,0.328,0.632
양우현,2000,2024,15,37,3,0,0,0,2,11,1,0,0,0,0.081,0.128,0.081,0.209
양종민,1990,2019,150,147,27,5,1,1,11,53,17,24,1,4,0.184,0.241,0.252,0.492
양준혁,1969,2010,2135,7332,2318,458,25,351,1278,910,1389,1299,193,119,0.316,0.418,0.529,0.947
양찬열,1997,2024,113,200,47,6,2,3,27,49,22,37,3,2,0.235,0.326,0.33,0.656
양현석,1977,2007,400,795,191,34,3,24,72,163,114,81,7,7,0.24,0.303,0.381,0.684
양회열,1971,1996,204,465,111,11,1,0,37,98,25,48,2,6,0.239,0.295,0.267,0.561
양후승,1961,1992,388,450,101,15,3,6,62,103,32,83,17,18,0.224,0.318,0.311,0.629
엄정대,1975,2003,175,153,32,3,1,3,9,40,19,34,3,3,0.209,0.253,0.301,0.554
엄태섭,1959,1984,46,105,19,3,0,0,4,14,6,8,2,0,0.181,0.211,0.21,0.421
엄태용,1994,2014,56,81,18,5,0,0,2,24,7,4,1,0,0.222,0.241,0.284,0.525
에레라,1972,2002,156,628,206,35,2,21,32,81,83,84,17,12,0.328,0.361,0.49,0.851
에반스,1986,2017,256,914,275,50,0,51,130,204,171,151,2,0,0.301,0.388,0.523,0.911
엔젤,1975,2004,40,131,36,3,0,9,23,30,27,21,2,0,0.275,0.383,0.504,0.887
여태구,1964,1995,591,1495,376,63,17,18,168,201,148,200,86,33,0.252,0.327,0.353,0.68
